,product_name_list,price_lst
0,ذرة قودي حبة ذهبية علب 196 جرام,3.42
1,زيتون كوبوليفا اسود بلا نوى150 جرام,6.25
2,ذرة العلالي حلوة مهروسة 425 جرام,5.2
3,تونة بيتي خفيف زيت دوارشمس 180جرام,6.25
4,تونة بيتي خفيف زيت دوارشمس 100جرام,4.15
5,زيتون حلواني اخضر بالزيت 650 جرام,25.15
6,زيتون اليسا اخضر محشي 140 جرام,5.52
7,فول حدائق كاليفورنيا خلطة لبنانية 450 جرام,5.25
8,فول حدائق كاليفورنيا مع فلفل 450 جرام,5.25
9,فاصوليا قودي حمراء 425 جرام,4.15
10,تونة قودي ابيض 95جرام,6.25
11,فول حدائق كاليفورنيا خلطة مصرية 450 جرام,5.25
12,فول لونا امريكي علب 400 جرام,2.63
13,فاصوليا لونا بيضاء 400 جرام,3.1
14,زيتون اليسا اسود علب 100 جرام,3.95
15,زيتون كوبوليفا اسود علب 100جرام,4.15
16,تونة ريوماري خفيف 6حبات ×80 جرام,36.95
17,حمص حدائق شتورة طحينة 180 جرام,2.05
18,ارز الوليمة مزة بسمتي 10 كيلو,76.2
19,جبن المراعي كاسات طعم القشطة ٥٠٠جم,15.7
20,سكر ابوفهد ناعم 10 كيلو,30.4
21,شراب تونو توت مركز 710مل,10.25
22,حليب نيدو بودرة 2500جرام,76.6
23,لقمة القاضي هونج 500جرام,8.35
24,دجاج دو مجمد 10*900جرام,127.75
25,شراب فوستر برتقال فالينسيا 2.5 كجم,35.65
26,زيتون كوبوليفا اسود شرائح 114 جرام,6.04
27,حمص حدائق كاليفورنيا طحينة 220 جرام,2.1
28,حمص حدائق كاليفورنيا طحينة 400 جرام,4.05
29,تونة قودي قليل الدسم بالماء 95جرام,4.73
30,تونة قودي قليل الدسم بالماء 195جرام,7.88
31,زيتون اليسا اسود بلا عجو 150 جرام,6.25
32,تونة هالي خفيف 200جرام,4.5
33,تونة هالي ابيض 200جرام,4.5
34,بزاليا هالي خضراء علب 400 جرام,1.25
35,تونة قودي تندرينا ناعمة 195جرام,7.88
36,تونة قودي تندرينا ناعمة 80جرام,4.73
37,زيتون كوبوليفا اخضر بلا نوى 75 جرام,4.15
38,فاصوليا ليبز مطبوخة بصلصة 420 جرام,5.52
39,فول حدائق كاليفورنيا بالطحينة 450 جرام,5.25
40,سردين صلصة طماطم حار مكاتي 155جرام,2.89
41,دقيق كويتي 1كيلو  ,3.95
42,حمص شتورة طحينة 380 جرام,3.1
43,حمص فرشلي حب زجاج 580 جرام,6.25
44,ارز الوليمة مزة بسمتي 10 كيلو,76.2
45,جبن المراعي كاسات طعم القشطة ٥٠٠جم,15.7
46,سكر ابوفهد ناعم 10 كيلو,30.4
47,شراب تونو توت مركز 710مل,10.25
48,حليب نيدو بودرة 2500جرام,76.6
49,لقمة القاضي هونج 500جرام,8.35
50,دجاج دو مجمد 10*900جرام,127.75
51,شراب فوستر برتقال فالينسيا 2.5 كجم,35.65
52,شوربة كويكر شوفان ابيض 500جرام,9.40
53,ذرة فرشلي حلوة بالكريمة 410 جرام,4.73
54,ذرة العثيم حب كامل حلو علب340جرام,4.25
55,مشروم العثيم قطع 400 جرام,5.78
56,فول لونا مدمس خلطة سعودية 400 جرام,3.68
57,طماطم كوينزى ايطالى مقشر 400 جرام,2.63
58,طماطم الطائي ايطالي مقشرة 400 جرام,2.37
59,"زيت عافية ذرة 1,8لتر",23.50
60,تونة جنتل ابيض فاخر 95 جرام,4.47
61,سردين ميلو بارد 125 جرام,4.15
62,ذرة فرشلي بلا ملح وبلا سكر 340 جرام,5.2
63,ذرة العملاق الاخضر 432 جرام,5.75
64,ذرة العملاق الاخضر حلو 198 جرام,4.75
65,ذرة ليبز حب كامل علب 340 جرام,5.52
66,خضار مشكل العلالي 400 جرام,5.52
67,بزاليا العلالي مع جزر 400 جرام,5.52
68,خضار مشكل ليبز 425 جرام,5.52
69,مشروم هالي شرائح 400 جرام,5.25
70,ارز الوليمة مزة بسمتي 10 كيلو,76.2
71,جبن المراعي كاسات طعم القشطة ٥٠٠جم,15.7
72,سكر ابوفهد ناعم 10 كيلو,30.4
73,شراب تونو توت مركز 710مل,10.25
74,حليب نيدو بودرة 2500جرام,76.6
75,لقمة القاضي هونج 500جرام,8.35
76,دجاج دو مجمد 10*900جرام,127.75
77,شراب فوستر برتقال فالينسيا 2.5 كجم,35.65
78,بزاليا لونا خضراء علب 400 جرام,2.37
79,فاصوليا ليبز مطبوخة بصلصة 220 جرام,3.68
80,حمص فرشلي حب زجاج 250 جرام,3.75
81,حمص لونا حب علب 400 جرام,3.1
82,حمص حدائق فيكتوريا طحينة 135جرام,2.05
83,طماطم فرشلي مقشرة 390 جرام,3.42
84,شراب تانج برتقال زجاج 750جرام,14.95
85,فول لونا صيني علب 400 جرام,2.05
86,فول حدائق كاليفورنيا خلطة سعودية 450 جرام,5.25
87,فول حدائق كاليفورنيا مصفى 450 جرام,5.25
88,زيتون اليسا اسود علب 200 جرام,5.2
89,زيتون اليسا اسود شرائح 120 جرام,6.25
90,سردين صلصة طماطم مكاتي 155جرام,2.89
91,ذرة فرشلي حب كامل علب 425 جرام,6.04
92,ذرة قودي حبة ذهبية علب 340 جرام,4.7
93,ذرة العملاق الاخضر بلا ملح وبلا سكر 198 جرام,4.75
94,ذرة العملاق الاخضر بلا ملح وبلا سكر 340 جرام,6.25
95,بازيلاء العثيم خضراء 400 جرام,2.05
96,ارز الوليمة مزة بسمتي 10 كيلو,76.2
97,جبن المراعي كاسات طعم القشطة ٥٠٠جم,15.7
98,سكر ابوفهد ناعم 10 كيلو,30.4
99,شراب تونو توت مركز 710مل,10.25
100,حليب نيدو بودرة 2500جرام,76.6
101,لقمة القاضي هونج 500جرام,8.35
102,دجاج دو مجمد 10*900جرام,127.75
103,شراب فوستر برتقال فالينسيا 2.5 كجم,35.65
104,فاصوليا قودي خضراء مقطعة 411 جرام,4.5
105,شراب فيمتو توت 710مل,11.50
106,تونة جنتل بزيت دوار شمس 185جرام,5.78
107,ورق عنب حدائق شتورة محشي 2 كيلو,34.39
108,نقانق دجاج حدائق امريكا 142 جرام,4.15
109,ذرة العلالي حب كامل علب 425 جرام,4.99
110,ارز ابو كاس مزة بسمتي 10 كيلو,79.95
111,فاصوليا حدائق كاليفورنيا صلصة 420 جرام,4.05
112,فاصوليا حدائق كاليفورنيا حمرا 400 جرام,4.5
113,سلاتونة ريوماري خلطة ذرة 2×160جرام,25.95
114,سلاتونة ريوماري خلطة مكسيكية 2×160 جرام,25.95
115,ذرة سمارت حلو علب 340 جرام,4.95
116,تونة جرين فارمز خفيف 180 جرام,4.47
117,تونة ريوماري بالثوم والفلفل 2×160جرام,25.95
118,ورق عنب حدائق شتورة محشي 500 جرام,8.93
119,زيتون كوبوليفا اسود بلا نوى 75 جرام,4.15
