,product_name_list,price_lst
0,البقرة الضاحكة جبنة مثلثات 240 جرام,6.95
1,تانج شراب مانجو 2.5  كيلوجرام,36.95
2,الربيع حليب صويا بالفانيلا 1 لتر,10.0
3,ليز بطاطس بالخل و الملح دبلكس 23 جرام  -...,12.5
4,لورباك زبدة مملحة 200 جرام,10.0
5,بربيكان بيرة تفاح 330 مل - 6 حبات,28.0
6,ليز بطاطس بالجبنة 23 جرام × 14 حبة,12.5
7,عافية زيت دوار الشمس 3.5 لتر,21.25
8,كيري جبنة مربعات 648 جرام 3 حبات,21.95
9,رويال برجر دجاج 20 قطع 1 كيلو,21.5
10,تويكس شوكولاتة قطع صغيرة 275 جرام,16.75
11,ميموريز بسكويت التمر 120 جرام,2.95
12,بيرفيتو مكرونة لازانيا 500 جرام,11.5
13,نادك حليب كامل الدسم 1.75 لتر,6.0
14,كادبوري ديري ميلك شوكولاتة  37 جرام  12 ...,31.5
15,بريزدنت جبنة شرائح للساندويش 400 جرام,15.95
16,جالكسي جواهر شوكولاتة مشكلة 900 جرام,65.75
17,إن ون فاصوليا بيضاء 1 كجم,9.95
18,"اليوم دجاج فاخر طازج 1,2 كيلو",19.95
19,هاينز مايونيز 220 جرام,8.95
20,بيبي صدر ديك رومي مدخن قليلة الدسم (للكي...,62.95
21,بارني كيك اسفنجي بالحليب 30  جرام,2.0
22,كارفور بيض متوسط 20 قطع,36.95
23,السنبلة حلى ام علي 150 جرام,10.5
24,آيل اوف مان جبنة تشيدر قديمة 200 جرام,24.9
25,مستر كريسبس كرات الجبن 80 جم,8.5
26,ديمه بسكويت بالتين 63 جرام,1.5
27,خبز صامولي أبيض 8 حبات,1.0
28,مكاتي صلصة المحار 400 مل,7.95
29,يمامة ماء زهر البرتقال 750 مل,11.75
30,ساديا برجر الدجاج 1.34 كج,37.95
31,جونيور كروسون صغير 32 جرام + 1 مجانا,10.95
32,بوك جبنة موزاريلا مبشورة 1 كيلو,35.5
33,بريزيدن جبنة مثلثات 480 جرام,14.75
34,ستورك كافيار أسود 100 جرام,33.5
35,كارفور بايو شوكولاتة داكنة 74% 100 جرام,11.5
36,الواحة عصير فواكة مشكل 250 مل × 27,13.75
37,عافية زيت الذرة 3.5 لتر,45.45
38,كاندريل محلي 8.5 جرام,12.75
39,الكبير لب الجوافة مجمد 1 كيلو جرام,8.95
40,بوك كريمة خفق 1 لتر,22.95
41,"أنكور حليب بودره كيس كامل الدسم 2,5 كيلو",79.95
42,ساديا دجاج مجمد 1.2 كج × 10,141.95
43,السنبلة فول أخضر 450 جرام,10.75
44,كوكاكولا قارورة 250 مل,2.5
45,بريزيدن جبنة شرائح لايت 200 جرام,10.95
46,كلوقز كورن فليكس بالشوكولاتة 375 جرام,19.95
47,فريز شراب أناناس و جوزهند 275 مل,5.0
48,ليبتون شاي مثلج بالليمون 320 مل - 6 حبة,12.5
49,مولر زبادي يوناني بنكهة الكرز الأسود 150...,8.95
50,ماكين بطاطس 2.5 كيلو جرام,26.75
51,فريشلي زبدة الفول السوداني ناعمة 340 غ,10.95
52,ليبيز اناناس مقطع 570 جرام,7.95
53,ريتر شوكولاته بالكورن فليكس 100 جرام,9.75
54,زين سميد 1  كيلوجرام,7.5
55,ديمه حلوى طرية مشكلة 700 جرام,14.95
56,بوك جبنه كريم قابلة للدهن 910 جرام,27.75
57,الأسره سكر ناعم أكياس 5 كيلو,16.5
58,فيلادلفيا جبنة قابلة للدهن قليلة الدسم 2...,12.95
59,الخير قهوة هرري 5 كج,189.95
60,ساديا برجر لحم 1344 جرام,43.25
61,نادك زبادي خالي الدسم 170 جرام,1.0
62,أمريكانا بطاطس مقلية 2.5 كيلو جرام,19.95
63,الربيع عصير تفاح 330 مل,2.0
64,لواكر ويفر بالحليب 175 جرام,12.95
65,ليندت شوكولاتة ليندور بالحليب 500 جرام,62.95
66,وينرتش شوكولاته بالحليب بحشوة الموز 100 ...,7.25
67,نسكافيه 3 في 1 قهوة كلاسيك 20 جرام - 30 ...,27.95
68,نادك حلى الشوكولاتة الطازجة 75 جرام,1.0
69,الكبير نقانق لحم بقري مجمد 454 جرام 12 ق...,13.95
70,كابري سن كوكتيل فواكه 200 مل - 10 حبة,8.9
71,سويت آن لو 5.2 جرام 100 حبة,12.5
72,رمان احمر (للكيلو),17.9
73,الكبير سمبوسة لحم غنم 240  جرام,11.5
74,الوطنية بيض كبير 30 قطع,15.95
75,بيرفيتو مكرونة بيني ريغاتي 500 جرام,4.95
76,لواكر ويفر بكريمة البندق 45 جرام,3.0
77,بربيكان بيرة فراولة 300 مل,4.75
78,سمك السلمون الطازج فيليه النرويج (للكيلو...,89.95
79,نستله نسكويك شراب الشوكولاتة 200 جرام,7.95
80,ليز بطاطس بالفلفل 170 جم,5.5
81,غرينز خليط كريم كراميل فانيلا 70 جم - 12...,29.5
82,برايد موزاريلا مبشورة 1 كيلو,50.95
83,كارفور حبوب إفطار (موسلي) 750 جرام,18.95
84,سنبلة بف باستري مربعات قليلة الدسم 400 ج...,6.75
