,product_name_list,price_lst
0,نوفا - مياه معبأة ٣٣٠ مل ٤٠ عبوة,18.0
1,شركة مطاحن الدقيق والمخابز الكويتية طحين فاخر - لجميع الاستعمالات ١ كغم,3.0
2,التنمية - صدور دجاج بدون عظم طازجة ٤٥٠ غرام,14.0
3,بيرين - مياة شرب ٤٠*٣٣٠ مل,18.0
4,اليوم - فيليه صدور الدجاج ١٠٠٠ غرام,39.0
5,نوتيلا -كريمة البندق مع الكاكاو  قابلة للدهن ٧٥٠ غرام,29.0
6,قودي - مكرونة سباغيتي٤٥٠غرام,4.0
7,ساسا - ملح  ٧٥٠ غرام,2.0
8,نوفا - مياه ١٢ لتر,8.0
9,رضوى -شرائح صدور دجاج طازجة ٤٥٠ غرام,17.0
10,نستله - مياه معدنية طبيعية ٦* ١.٥ لتر,8.0
11,نستله - مياه نقيه١٢*٣٣٠ مل,5.0
12,بيرين - مياه شرب معبأة ٤٨*٢٠٠ مل,17.0
13,إندومي - شعيرية مقلية ٥*٧٥  غرام,6.0
14,ساديا - صدور دجاج طرية ١ كغم,21.0
15,ماجي -  مكعبات مرقة الدجاج  ٢٤*٢٠ غرام,12.0
16,الأسرة - سكر ناعم  ٥ كغم,16.0
17,الأسرة - سكر ناعم  ١ كيلو,3.0
18,نستله -  حليب مكثف محلى  ٣٩٥ غرام,7.0
19,نوتيلا -كريمة البندق مع الكاكاو قابلة للدهن ٤٠٠ غرام,17.0
20,بسكويت أوريو الأصلي ١٦*٣٨ غرام,18.0
21,النخلة - طحينة فاخرة ٥٠٠ غرام,19.0
22,قودي - زبدة الفول السوداني - ناعمة  ٥١٠  غرام,13.0
23,فوستر كلاركس -   نكهة  فانيلا ٢٨ مل,2.0
24,داناو - مشروب عصير بالحليب بنكهة الخوخ والمشمش ٦*١٨٠ مل,5.0
25,قودي - خل طبيعي  ٤٧٣ مل,2.0
26,مونتانا - ملوخية مجمدة ٤٠٠ غرام,4.0
27,صنوايت - أرز كالروز ٥ كغم,30.0
28,مكفتيز - بسكويت دايجستف الأصلي ٤٠٠غرام,7.0
29,نور - زيت دوار الشمس ٢*١.٨ لتر +٧٥٠ مل,38.0
30,قودي - تونة خفيفة مناسبة للسندوتشات ٨٠ غرام,4.0
31,السعودية - معجون طماطم ٨ عبوات,8.0
32,السعودية - معجون طماطم ٧+١*١٣٥ غرام,9.0
33,نسكافيه كلاسيك - قهوة سريعة التحضير ٢٠٠  غرام,23.0
34,ام ا جى - ملح بحري عضوي ٧٠٠ غرام,7.0
35,صن بايتس - شرائح خبز محمص بالزيتون و الزعتر البري ١١٠ غرام,5.0
36,ساديا - أنصاف صدور دجاج مجمدة بدون عظم وبدون جلد ٤٥٠ غرام,14.0
37,عافيه - زيت زيتون بكر ممتاز٥٠٠ مل,16.0
38,إندومي - شعيرية بنكهة الدجاج الخاصة ٥*٧٠  غرام,6.0
39,"امريكانا - بطاطس مقلية ٢,٥ كيلو",8.0
40,السنبلة - بازيلا خضراء مجمدة ٤٥٠ غرام,7.0
41,المراعي - عصير بنكهة كوكتيل تفاح  ٢٠٠ مل,1.0
42,اليوم - أفخاذ دجاج كاملة ١٠٠٠ غرام,18.0
43,بيتي كروكر - خليط كيك الشوكولاتة بالحليب * سوبر مويست * ٥٠٠ غرام,11.0
44,"السنبلة - رقائق هشة ""بف بيستري"" ٤٠٠ غرام",7.0
45,اليوم - دجاج فاخر طازج ٢*١٠٠٠ غرام,33.0
46,حدائق كاليفورنيا - فول مدمس سادة ٤٥٠ غرام,3.0
47,بيرفيتو - مكرونة نوتولي ٥٠٠ غرام,4.0
48,بوتان - لحم تونا خفيف ٩٠  غرام,4.0
49,نستله - كونتري كورن فليكس  ٥٠٠ غرام,15.0
50,سن توب - شراب البرتقال ٢٤*١٢٥ مل,11.0
51,الطائي - طماطم مقشرة ٤٠٠ غرام,2.0
52,نوتيلا بي ريدي - ويفر محشو بالنوتيلا ٦*٢٢ غرام,9.0
53,نوفا - مياه معدنية١٢*١.٥ لتر,15.0
54,امريكانا - ناجت الدجاج ٤٠٠ غرام,16.0
55,بسكويت اوريو مغطى بالشوكولاتة ٢٠٤ غرام,9.0
56,نسكويك - حبوب افطار بطعم الشوكولاتة ٣٧٥ غرام,17.0
57,أبو كاس -  بابكر أرز بسمتي  ٥ كيلو جرام,39.0
58,كويكر - شوفان أبيض ٥٠٠غرام,9.0
59,بست - فول سوداني مملح ٢٤*١٥ غرام,10.0
60,فوستر كلاركس - باكينج بودر ١١٠ غرام,3.0
61,قودي - مايونيز  ٩٤٦ مل,9.0
62,الأسرة - سكر ناعم  ٢ كيلو,7.0
